"country","specification","term","structural_param"
"Australia","Spec1_LogNetWorth","ecm_lag",-1
"Australia","Spec2_LogNetWorth_CCI","ecm_lag",-1
"Australia","Spec3_LevelNetWorth","ecm_lag",-1
"Australia","Spec4_Disagg_NoCCI","ecm_lag",-1
"Australia","Spec5_FullDisagg","ecm_lag",-1
"Australia","Spec6_Preferred","ecm_lag",-1
"Australia","Spec7_CohortBurden","ecm_lag",-1
"Australia","Spec4_Disagg_NoCCI","eq_y",0.1880022693982
"Australia","Spec5_FullDisagg","eq_y",0.163224427770374
"Australia","Spec6_Preferred","eq_y",0.315144915247428
"Australia","Spec7_CohortBurden","eq_y",0.139739815106585
"Australia","Spec4_Disagg_NoCCI","ha_y",0.0482002921274404
"Australia","Spec5_FullDisagg","ha_y",0.0377975068279939
"Australia","Spec6_Preferred","ha_y",0.0405810732780975
"Australia","Spec7_CohortBurden","ha_y",0.0302211264471582
"Italy","Italy_Preferred","ha_y",0.00460968883210896
"Italy","Italy_Preferred","ilfa_y",0.00112095602868892
"Australia","Spec4_Disagg_NoCCI","ln_hp_over_y",-0.127478371563369
"Australia","Spec5_FullDisagg","ln_hp_over_y",-0.12383645213381
"Australia","Spec6_Preferred","ln_hp_over_y",-0.151008013573568
"Australia","Spec7_CohortBurden","ln_hp_over_y",-0.0415312048648532
"Australia","Spec1_LogNetWorth","ln_yp_over_y",-0.066507377200799
"Australia","Spec2_LogNetWorth_CCI","ln_yp_over_y",-0.0401843526199107
"Australia","Spec3_LevelNetWorth","ln_yp_over_y",-0.0662098695560807
"Australia","Spec4_Disagg_NoCCI","ln_yp_over_y",-0.0385495650231192
"Australia","Spec5_FullDisagg","ln_yp_over_y",-0.00624283031601907
"Australia","Spec6_Preferred","ln_yp_over_y",-0.377409214652844
"Australia","Spec7_CohortBurden","ln_yp_over_y",-0.604254524910107
"Italy","Italy_Preferred","ln_yp_over_y",-0.0183939978052012
"Australia","Spec4_Disagg_NoCCI","nla_y",-0.0239777566818905
"Australia","Spec5_FullDisagg","nla_y",0.17172441627115
"Australia","Spec6_Preferred","nla_y",0.173031506691001
"Australia","Spec7_CohortBurden","nla_y",-0.0610012597961999
"Italy","Italy_Preferred","nla_y",0.0255075813823135
"Australia","Spec1_LogNetWorth","real_rate",0.00737646734413233
"Australia","Spec2_LogNetWorth_CCI","real_rate",0.0210871833247322
"Australia","Spec3_LevelNetWorth","real_rate",0.00557378085135706
"Australia","Spec4_Disagg_NoCCI","real_rate",-0.000595568719264286
"Australia","Spec5_FullDisagg","real_rate",-0.000549388293866323
"Australia","Spec6_Preferred","real_rate",-0.000717296616605238
"Australia","Spec7_CohortBurden","real_rate",-0.0100817109567125
"Italy","Italy_Preferred","real_rate",-0.0271938720007557
"Australia","Spec4_Disagg_NoCCI","super_y",-0.054256779617331
"Australia","Spec5_FullDisagg","super_y",-0.0430484026840583
"Australia","Spec6_Preferred","super_y",-0.0663850184773795
"Australia","Spec7_CohortBurden","super_y",0.127395057690014
